cluster,PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
0,1402.0,1098.0,736.0,1729.0,1456.0,18.2,49.7,1.0284
0,1349.0,1097.0,707.0,1763.0,1442.0,16.1,57.4,1.0451
1,1161.0,938.0,827.0,1597.0,1243.0,16.3,55.3,1.0178
2,1022.0,802.0,916.0,1481.0,1078.0,15.7,53.6,0.9483
2,948.0,700.0,1045.0,1430.0,939.0,16.9,49.8,0.9514
2,933.0,697.0,1045.0,1403.0,937.0,14.8,57.7,0.9644
2,1021.0,800.0,931.0,1483.0,1019.0,14.0,59.7,0.9499
1,1134.0,979.0,794.0,1639.0,1140.0,14.6,56.8,0.9385
0,1311.0,1147.0,681.0,1838.0,1351.0,16.7,51.9,0.9788
0,1409.0,1169.0,685.0,1874.0,1459.0,20.0,45.0,1.039
0,1301.0,1059.0,787.0,1727.0,1297.0,23.9,33.7,0.9837
0,1354.0,1130.0,765.0,1808.0,1291.0,26.8,29.5,1.0209
0,1391.0,1136.0,738.0,1840.0,1296.0,27.2,32.4,1.1493
1,1200.0,929.0,879.0,1623.0,972.0,26.9,32.1,1.1217
1,1338.0,1016.0,798.0,1766.0,1194.0,24.3,41.8,1.2561
1,1223.0,938.0,884.0,1610.0,880.0,25.6,36.0,1.1629
1,1278.0,1003.0,845.0,1691.0,909.0,27.0,31.8,1.1176
1,1257.0,973.0,860.0,1634.0,839.0,27.5,31.6,1.1417
0,1497.0,1171.0,725.0,1899.0,1248.0,24.9,38.1,1.1838
0,1567.0,1280.0,661.0,1970.0,1476.0,23.4,39.7,1.1276
0,1503.0,1203.0,651.0,1863.0,1502.0,21.2,50.8,1.2631
1,1169.0,850.0,906.0,1584.0,873.0,15.6,73.5,1.2953
2,1007.0,650.0,1157.0,1404.0,528.0,12.9,79.7,1.1774
2,1004.0,667.0,1157.0,1365.0,492.0,11.5,76.9,1.0436
2,967.0,661.0,1181.0,1321.0,463.0,12.2,66.8,0.9455
2,984.0,707.0,1131.0,1359.0,494.0,12.4,64.1,0.9209
2,931.0,689.0,1161.0,1317.0,503.0,12.7,58.7,0.8605
2,966.0,737.0,1083.0,1363.0,581.0,12.6,58.6,0.8529
2,777.0,521.0,1535.0,1121.0,350.0,12.5,51.2,0.7374
2,763.0,471.0,1783.0,1098.0,305.0,12.5,50.9,0.7346
2,804.0,505.0,1718.0,1148.0,329.0,12.8,49.3,0.7285
2,830.0,535.0,1496.0,1184.0,375.0,13.5,48.6,0.7487
2,833.0,553.0,1476.0,1180.0,373.0,14.4,45.9,0.7476
2,875.0,603.0,1370.0,1206.0,385.0,15.1,43.9,0.7487
2,882.0,621.0,1346.0,1216.0,403.0,16.6,38.6,0.7236
2,862.0,635.0,1320.0,1193.0,393.0,17.2,35.0,0.6789
2,863.0,636.0,1290.0,1185.0,388.0,17.4,33.9,0.6683
2,830.0,596.0,1389.0,1145.0,371.0,17.9,30.7,0.6234
2,807.0,584.0,1488.0,1104.0,347.0,18.3,27.2,0.5675
2,873.0,675.0,1343.0,1181.0,396.0,19.4,25.7,0.5738
2,931.0,739.0,1274.0,1219.0,474.0,20.2,24.1,0.563
2,918.0,748.0,1228.0,1219.0,505.0,19.6,24.9,0.5625
2,1001.0,811.0,1122.0,1344.0,625.0,18.5,27.8,0.5843
1,1169.0,1039.0,883.0,1550.0,941.0,17.8,30.3,0.6129
2,1085.0,907.0,976.0,1419.0,893.0,16.6,34.0,0.6353
2,940.0,769.0,1103.0,1310.0,731.0,15.5,37.0,0.6447
1,1126.0,1083.0,875.0,1654.0,955.0,14.8,39.5,0.6595
2,978.0,858.0,1013.0,1379.0,761.0,14.5,42.0,0.6896
2,893.0,703.0,1192.0,1283.0,515.0,14.1,44.9,0.7206
2,838.0,601.0,1361.0,1220.0,434.0,14.2,45.5,0.7333
2,803.0,527.0,1513.0,1152.0,369.0,14.1,45.3,0.7247
2,775.0,477.0,1722.0,1115.0,335.0,14.0,44.3,0.7038
2,767.0,454.0,1826.0,1091.0,319.0,14.1,43.0,0.689
2,809.0,521.0,1575.0,1158.0,378.0,13.9,43.9,0.6923
2,898.0,676.0,1271.0,1307.0,517.0,14.0,43.8,0.6959
2,1053.0,880.0,982.0,1464.0,786.0,14.4,43.6,0.7113
2,1033.0,934.0,917.0,1490.0,844.0,15.0,41.7,0.7093
2,941.0,780.0,1080.0,1343.0,720.0,16.3,38.4,0.7052
2,941.0,782.0,1102.0,1328.0,668.0,18.3,32.3,0.676
2,917.0,772.0,1098.0,1311.0,605.0,18.8,31.7,0.6821
2,977.0,837.0,1038.0,1413.0,646.0,19.6,30.9,0.6968
2,994.0,851.0,1018.0,1436.0,640.0,20.2,30.7,0.7176
2,942.0,785.0,1065.0,1365.0,571.0,19.7,32.5,0.7396
2,981.0,810.0,1060.0,1395.0,605.0,20.7,31.6,0.7602
2,984.0,832.0,1034.0,1410.0,636.0,20.0,32.7,0.7545
1,1116.0,1003.0,864.0,1625.0,886.0,18.6,35.4,0.7535
1,1181.0,1114.0,787.0,1685.0,1032.0,18.3,35.9,0.7501
1,1163.0,1068.0,811.0,1616.0,977.0,17.8,37.5,0.7568
1,1081.0,950.0,907.0,1496.0,924.0,17.3,38.8,0.7584
2,1017.0,842.0,1000.0,1441.0,846.0,17.3,38.8,0.7596
2,966.0,778.0,1057.0,1359.0,755.0,16.4,40.8,0.7542
2,924.0,709.0,1158.0,1318.0,610.0,16.0,41.4,0.7487
2,861.0,601.0,1351.0,1225.0,439.0,15.4,43.0,0.7482
2,826.0,560.0,1424.0,1197.0,402.0,15.7,42.5,0.7539
2,846.0,557.0,1385.0,1212.0,406.0,15.6,43.4,0.7651
2,842.0,545.0,1423.0,1224.0,424.0,15.2,45.8,0.7864
2,909.0,617.0,1236.0,1302.0,558.0,14.7,49.9,0.828
2,930.0,670.0,1143.0,1339.0,746.0,15.5,47.3,0.8282
1,1120.0,935.0,843.0,1593.0,1126.0,14.4,53.1,0.8677
0,1518.0,1389.0,589.0,2101.0,1703.0,15.9,48.5,0.8704
0,1461.0,1398.0,630.0,2050.0,1628.0,18.1,40.3,0.8294
1,1075.0,896.0,938.0,1487.0,936.0,19.6,35.9,0.81
1,1061.0,908.0,968.0,1455.0,890.0,22.8,29.1,0.796
1,1066.0,931.0,979.0,1474.0,757.0,24.8,25.3,0.7793
1,1179.0,1137.0,829.0,1651.0,949.0,27.2,22.0,0.7785
1,1251.0,1238.0,773.0,1779.0,1109.0,28.2,20.4,0.7677
1,1120.0,1048.0,898.0,1560.0,870.0,25.4,24.2,0.7733
1,1187.0,1142.0,840.0,1651.0,1011.0,25.7,23.8,0.7737
1,1145.0,1066.0,903.0,1592.0,885.0,27.2,22.1,0.7811
1,1215.0,1164.0,817.0,1689.0,1015.0,27.0,22.3,0.786
0,1317.0,1231.0,766.0,1798.0,1155.0,24.5,27.8,0.8433
0,1388.0,1341.0,702.0,1955.0,1315.0,23.7,30.2,0.8718
0,1295.0,1266.0,716.0,1849.0,1359.0,21.5,34.5,0.8746
1,1153.0,1066.0,811.0,1651.0,1194.0,19.9,37.8,0.8675
1,1078.0,932.0,905.0,1511.0,951.0,18.9,40.6,0.8771
1,1133.0,1012.0,806.0,1608.0,1054.0,17.9,43.5,0.884
1,1055.0,899.0,880.0,1504.0,980.0,17.4,46.3,0.9112
2,953.0,735.0,999.0,1396.0,898.0,18.1,44.7,0.9186
2,892.0,639.0,1139.0,1359.0,803.0,16.5,50.1,0.9331
2,895.0,632.0,1167.0,1347.0,684.0,14.2,56.9,0.9141
2,859.0,602.0,1209.0,1321.0,644.0,14.7,56.2,0.9341
2,856.0,619.0,1191.0,1345.0,677.0,16.3,52.8,0.9722
2,1030.0,880.0,892.0,1539.0,996.0,13.9,60.7,0.9597
0,1689.0,1560.0,529.0,2396.0,1736.0,15.0,58.3,0.9876
0,1486.0,1351.0,571.0,2112.0,1692.0,16.1,54.8,0.996
0,1592.0,1423.0,577.0,2155.0,2108.0,19.3,46.4,1.0248
0,1469.0,1252.0,692.0,1903.0,1807.0,24.2,33.8,1.0097
0,1364.0,1205.0,723.0,1850.0,1566.0,26.7,28.7,0.9895
1,1285.0,1123.0,755.0,1741.0,1293.0,27.4,28.2,1.0098
1,1311.0,1170.0,748.0,1787.0,1219.0,28.1,26.9,1.0094
0,1416.0,1348.0,684.0,1969.0,1330.0,27.7,26.5,0.9693
0,1387.0,1318.0,701.0,1890.0,1299.0,28.4,23.4,0.8935
1,1329.0,1185.0,768.0,1750.0,1111.0,28.4,26.0,0.9922
0,1496.0,1292.0,680.0,1878.0,1300.0,27.3,30.0,1.0752
0,1676.0,1525.0,567.0,2226.0,1653.0,24.3,37.3,1.1199
0,1724.0,1510.0,562.0,2252.0,1716.0,23.1,42.2,1.1746
0,1642.0,1426.0,597.0,2117.0,1720.0,21.8,43.6,1.1226
0,1267.0,1088.0,764.0,1740.0,1339.0,19.8,46.8,1.0702
1,1146.0,923.0,845.0,1575.0,1166.0,19.6,49.8,1.1221
0,1216.0,960.0,788.0,1662.0,1256.0,17.9,56.2,1.142
1,1128.0,891.0,838.0,1574.0,1125.0,17.4,55.6,1.0963
2,1042.0,772.0,923.0,1495.0,968.0,16.8,59.5,1.1269
2,926.0,639.0,1115.0,1409.0,814.0,15.9,60.1,1.0806
2,898.0,608.0,1154.0,1386.0,743.0,15.6,61.2,1.0784
2,889.0,617.0,1168.0,1382.0,758.0,14.6,63.4,1.0446
2,959.0,734.0,1038.0,1470.0,861.0,13.3,67.0,1.0203
2,1097.0,956.0,827.0,1620.0,1047.0,12.9,66.5,0.9846
0,1674.0,1547.0,539.0,2405.0,1665.0,14.8,61.3,1.0237
0,1771.0,1690.0,461.0,2572.0,1982.0,16.1,56.5,1.0274
0,1408.0,1241.0,648.0,1886.0,1711.0,18.6,47.8,1.0143
1,1156.0,1009.0,875.0,1583.0,1204.0,23.8,30.2,0.8771
1,1042.0,941.0,971.0,1491.0,871.0,25.4,25.0,0.7966
1,1167.0,1128.0,829.0,1716.0,1040.0,25.6,25.5,0.8234
0,1398.0,1360.0,656.0,2037.0,1439.0,24.9,29.9,0.9325
0,1458.0,1321.0,654.0,2023.0,1516.0,22.4,37.9,1.016
0,1554.0,1379.0,614.0,2151.0,1693.0,21.7,44.0,1.1242
0,1495.0,1331.0,615.0,2069.0,1635.0,21.4,44.4,1.1176
0,1560.0,1424.0,579.0,2176.0,1688.0,20.8,45.3,1.1016
0,1664.0,1519.0,553.0,2312.0,1820.0,20.2,48.6,1.1354
0,1761.0,1610.0,502.0,2488.0,2006.0,20.2,50.8,1.1924
0,1524.0,1275.0,608.0,2046.0,1740.0,18.6,57.6,1.2233
0,1398.0,1189.0,646.0,1931.0,1577.0,18.2,58.8,1.2173
0,1342.0,1106.0,694.0,1856.0,1443.0,17.8,61.0,1.2352
0,1433.0,1104.0,681.0,1876.0,1411.0,17.0,70.7,1.3554
0,1297.0,1019.0,733.0,1823.0,1217.0,16.2,76.9,1.4051
1,1179.0,884.0,830.0,1696.0,1086.0,15.7,78.6,1.3943
1,1097.0,809.0,897.0,1628.0,1050.0,15.7,78.4,1.3917
2,1054.0,761.0,963.0,1598.0,965.0,15.7,77.4,1.3683
2,1017.0,711.0,1009.0,1554.0,906.0,15.4,78.5,1.3635
2,1005.0,738.0,1005.0,1563.0,917.0,15.7,74.7,1.3194
0,1206.0,949.0,818.0,1771.0,1116.0,15.9,73.1,1.3136
0,1458.0,1249.0,662.0,2033.0,1380.0,16.6,68.2,1.2737
0,1405.0,1295.0,638.0,2065.0,1378.0,18.7,57.6,1.2323
0,1381.0,1199.0,685.0,1970.0,1365.0,17.6,65.0,1.2945
0,1315.0,1072.0,736.0,1833.0,1273.0,16.3,73.2,1.3458
0,1332.0,1082.0,707.0,1889.0,1242.0,16.0,78.5,1.4209
0,1362.0,1145.0,673.0,1973.0,1294.0,17.3,72.4,1.4125
0,1399.0,1222.0,643.0,2061.0,1413.0,19.4,60.9,1.3545
0,1310.0,1160.0,695.0,1939.0,1224.0,21.4,50.9,1.2823
0,1399.0,1201.0,699.0,1971.0,1318.0,22.7,45.8,1.2465
0,1524.0,1239.0,644.0,2139.0,1404.0,20.9,60.8,1.4852
0,1487.0,1274.0,641.0,2133.0,1471.0,21.0,54.3,1.3353
0,1480.0,1324.0,622.0,2162.0,1623.0,20.8,54.4,1.3194
0,1626.0,1476.0,555.0,2356.0,1786.0,19.8,58.6,1.3392
0,1449.0,1282.0,625.0,2100.0,1569.0,19.1,61.1,1.3345
0,1363.0,1152.0,684.0,1951.0,1495.0,18.2,65.4,1.3529
0,1371.0,1136.0,689.0,1927.0,1471.0,18.1,66.1,1.3579
0,1406.0,1107.0,718.0,1872.0,1384.0,17.7,66.9,1.3422
0,1425.0,1155.0,709.0,1936.0,1789.0,17.8,66.8,1.346
0,1179.0,951.0,826.0,1724.0,1323.0,17.3,68.3,1.3346
1,1047.0,833.0,939.0,1647.0,1081.0,16.5,70.2,1.3099
1,1009.0,825.0,950.0,1629.0,938.0,15.7,73.1,1.2902
2,882.0,685.0,1134.0,1492.0,673.0,16.2,69.9,1.2756
2,858.0,624.0,1205.0,1434.0,543.0,16.7,67.1,1.2619
2,875.0,659.0,1180.0,1452.0,561.0,16.7,66.9,1.2631
1,1012.0,833.0,916.0,1632.0,862.0,16.9,66.5,1.2688
1,1049.0,836.0,926.0,1615.0,901.0,17.7,62.0,1.2458
1,1131.0,932.0,854.0,1693.0,1048.0,19.4,54.6,1.2184
1,1120.0,931.0,886.0,1652.0,971.0,21.6,46.1,1.1725
1,1117.0,946.0,909.0,1657.0,915.0,24.6,36.7,1.1202
1,1110.0,948.0,901.0,1632.0,891.0,26.0,31.9,1.0566
1,962.0,816.0,1044.0,1489.0,628.0,25.6,31.5,1.0184
1,963.0,835.0,1029.0,1495.0,556.0,24.8,34.8,1.0716
1,1050.0,948.0,928.0,1584.0,652.0,26.1,30.3,1.0101
1,1053.0,911.0,949.0,1603.0,683.0,25.5,33.5,1.0767
1,1045.0,910.0,948.0,1598.0,624.0,23.7,37.2,1.0746
1,1124.0,1013.0,849.0,1676.0,733.0,22.3,38.9,1.0324
0,1330.0,1140.0,759.0,1780.0,1062.0,20.7,42.8,1.0298
1,1171.0,1006.0,835.0,1674.0,988.0,19.0,51.7,1.1222
1,1085.0,954.0,866.0,1656.0,871.0,17.8,55.5,1.1174
0,1358.0,1144.0,727.0,1851.0,1243.0,17.4,57.6,1.1342
0,1385.0,1094.0,765.0,1769.0,1175.0,17.6,58.5,1.1645
1,1167.0,914.0,876.0,1599.0,1126.0,17.2,59.3,1.1551
1,1072.0,894.0,893.0,1646.0,1118.0,17.1,60.4,1.1633
2,938.0,789.0,989.0,1536.0,864.0,16.4,62.2,1.1507
2,1000.0,838.0,910.0,1580.0,942.0,14.8,67.6,1.1352
2,854.0,670.0,1141.0,1460.0,684.0,14.8,65.8,1.1028
2,815.0,628.0,1212.0,1426.0,689.0,14.7,65.2,1.0811
2,866.0,689.0,1138.0,1456.0,767.0,13.1,70.2,1.0554
2,911.0,751.0,1036.0,1518.0,817.0,14.3,66.2,1.0728
2,988.0,806.0,951.0,1568.0,940.0,16.0,61.6,1.1083
1,1046.0,851.0,920.0,1595.0,908.0,17.7,56.4,1.1342
1,1085.0,918.0,890.0,1639.0,871.0,21.3,44.7,1.1157
1,1008.0,816.0,1015.0,1531.0,689.0,23.6,36.4,1.0431
1,1004.0,821.0,1031.0,1510.0,629.0,24.3,34.0,1.0149
1,948.0,754.0,1086.0,1436.0,602.0,24.4,32.7,0.9863
1,1026.0,847.0,1010.0,1519.0,617.0,24.6,31.7,0.9647
1,1047.0,859.0,948.0,1538.0,677.0,23.9,34.3,1.002
1,1018.0,790.0,1047.0,1443.0,580.0,25.9,28.1,0.9258
1,1160.0,957.0,884.0,1637.0,861.0,24.5,32.3,0.9815
1,1269.0,1047.0,809.0,1721.0,1080.0,22.6,39.3,1.06
0,1394.0,1111.0,736.0,1853.0,1288.0,21.2,47.5,1.1828
0,1292.0,1003.0,789.0,1753.0,1163.0,19.9,54.9,1.2632
1,1212.0,966.0,840.0,1691.0,1043.0,19.4,52.1,1.1642
1,1137.0,985.0,858.0,1607.0,1045.0,19.4,42.6,0.9485
1,1080.0,910.0,923.0,1548.0,929.0,19.1,44.1,0.966
1,1031.0,861.0,903.0,1534.0,825.0,18.0,49.3,1.0086
2,917.0,654.0,1169.0,1414.0,545.0,17.6,54.6,1.0918
2,888.0,598.0,1228.0,1397.0,500.0,16.4,62.1,1.1493
2,872.0,564.0,1284.0,1385.0,494.0,15.6,65.3,1.1484
2,876.0,547.0,1256.0,1351.0,505.0,16.0,61.4,1.1043
2,964.0,697.0,1067.0,1516.0,717.0,15.8,64.3,1.1416
1,1147.0,906.0,815.0,1687.0,1126.0,16.0,65.8,1.1844
0,1493.0,1328.0,577.0,2193.0,1597.0,16.8,62.5,1.1869
0,1597.0,1466.0,518.0,2400.0,1687.0,16.9,66.1,1.2613
0,1483.0,1222.0,597.0,2054.0,1529.0,17.4,68.9,1.3557
0,1222.0,1080.0,742.0,1755.0,1366.0,21.4,45.0,1.1291
1,1060.0,1010.0,858.0,1623.0,1074.0,23.9,30.7,0.9002
1,1048.0,1013.0,886.0,1584.0,940.0,26.8,25.2,0.8721
1,1051.0,1008.0,911.0,1561.0,921.0,28.4,23.6,0.8983
1,998.0,977.0,947.0,1496.0,695.0,30.3,20.1,0.8539
1,1058.0,1023.0,896.0,1580.0,795.0,30.9,19.7,0.8649
1,1203.0,1204.0,790.0,1744.0,1079.0,30.2,20.5,0.8672
0,1491.0,1392.0,630.0,2149.0,1473.0,26.4,34.6,1.1724
0,1467.0,1385.0,623.0,2084.0,1493.0,24.9,39.4,1.2268
0,1407.0,1279.0,660.0,2009.0,1308.0,23.5,43.7,1.2484
0,1324.0,1086.0,692.0,1903.0,1189.0,19.3,63.1,1.4028
1,1214.0,970.0,777.0,1771.0,1076.0,18.7,64.6,1.3836
1,1016.0,780.0,967.0,1566.0,806.0,19.5,57.1,1.2806
1,1135.0,842.0,872.0,1653.0,973.0,18.9,62.5,1.3521
1,1065.0,789.0,936.0,1620.0,929.0,18.4,65.8,1.3802
2,999.0,692.0,1038.0,1588.0,778.0,16.4,79.2,1.4681
2,911.0,599.0,1189.0,1517.0,633.0,16.1,80.0,1.4562
2,873.0,545.0,1308.0,1471.0,497.0,15.6,81.0,1.4302
2,881.0,546.0,1335.0,1465.0,458.0,15.6,81.0,1.4216
2,967.0,646.0,1117.0,1552.0,579.0,15.7,80.5,1.4236
0,1280.0,976.0,780.0,1912.0,1003.0,16.0,80.8,1.4602
0,1564.0,1379.0,552.0,2306.0,1393.0,16.6,78.0,1.4572
0,1505.0,1358.0,556.0,2248.0,1406.0,16.1,79.2,1.4398
0,1309.0,1186.0,649.0,1973.0,1308.0,17.7,70.8,1.4171
1,1035.0,895.0,898.0,1657.0,863.0,20.3,54.8,1.2867
1,1148.0,1062.0,753.0,1825.0,1004.0,21.2,49.3,1.2271
1,1152.0,1104.0,725.0,1860.0,1023.0,21.5,47.9,1.2178
1,1131.0,1059.0,772.0,1784.0,978.0,21.4,47.7,1.2047
1,1142.0,1053.0,753.0,1814.0,979.0,20.4,54.0,1.2757
1,1197.0,1082.0,753.0,1851.0,971.0,19.9,57.1,1.3158
1,960.0,828.0,971.0,1565.0,617.0,19.9,55.2,1.2701
1,1077.0,1001.0,836.0,1764.0,717.0,19.5,55.7,1.2512
0,1377.0,1313.0,612.0,2120.0,1220.0,18.3,62.8,1.3127
0,1405.0,1353.0,602.0,2185.0,1296.0,17.2,68.3,1.3289
0,1484.0,1319.0,591.0,2166.0,1413.0,16.1,75.2,1.3654
0,1187.0,1042.0,766.0,1840.0,1093.0,16.6,70.8,1.3253
2,870.0,729.0,1096.0,1475.0,586.0,18.5,56.0,1.181
2,932.0,765.0,1054.0,1543.0,575.0,17.3,59.5,1.1667
2,830.0,608.0,1282.0,1370.0,441.0,18.6,52.3,1.1121
2,778.0,534.0,1480.0,1294.0,358.0,19.0,49.8,1.0831
2,820.0,541.0,1450.0,1360.0,377.0,15.7,64.5,1.14
2,842.0,565.0,1327.0,1399.0,437.0,15.5,66.9,1.1691
2,867.0,589.0,1267.0,1439.0,468.0,14.7,74.1,1.2302
2,927.0,682.0,1109.0,1526.0,580.0,14.6,77.1,1.2727
2,1060.0,851.0,912.0,1673.0,805.0,14.5,78.3,1.2851
0,1440.0,1271.0,630.0,2163.0,1273.0,15.1,76.8,1.3061
0,1449.0,1350.0,571.0,2264.0,1452.0,16.4,70.8,1.3088
0,1384.0,1265.0,620.0,2143.0,1307.0,16.4,72.4,1.3379
0,1172.0,1085.0,737.0,1876.0,1102.0,16.3,68.6,1.2657
0,1143.0,1083.0,735.0,1887.0,1083.0,17.2,62.9,1.2228
0,1167.0,1134.0,709.0,1920.0,1083.0,17.4,61.1,1.206
0,1303.0,1288.0,618.0,2116.0,1236.0,16.8,66.8,1.2691
0,1264.0,1279.0,631.0,2049.0,1223.0,17.3,62.6,1.226
0,1242.0,1193.0,684.0,1945.0,1175.0,17.5,60.8,1.2029
1,1070.0,1022.0,824.0,1740.0,933.0,17.5,59.2,1.1725
1,981.0,978.0,857.0,1682.0,835.0,17.7,56.9,1.1392
0,1198.0,1136.0,717.0,1870.0,1291.0,17.1,61.5,1.1873
1,1000.0,918.0,881.0,1661.0,802.0,17.5,63.9,1.2667
1,1110.0,949.0,850.0,1733.0,842.0,15.9,70.7,1.2672
2,1023.0,854.0,918.0,1637.0,744.0,15.1,75.1,1.2799
2,861.0,695.0,1130.0,1438.0,500.0,13.9,72.5,1.1502
2,969.0,760.0,1059.0,1518.0,560.0,12.0,79.8,1.1175
2,898.0,741.0,1085.0,1468.0,589.0,12.5,75.8,1.0938
2,835.0,674.0,1201.0,1416.0,488.0,12.0,75.0,1.0499
2,766.0,523.0,1534.0,1310.0,387.0,12.6,72.2,1.0503
2,743.0,502.0,1635.0,1292.0,355.0,12.7,71.6,1.0486
2,758.0,517.0,1625.0,1294.0,351.0,13.1,67.1,1.0079
2,804.0,604.0,1366.0,1357.0,420.0,13.2,64.6,0.9774
2,948.0,817.0,1048.0,1546.0,695.0,13.1,65.6,0.9815
0,1204.0,1205.0,729.0,1984.0,1139.0,14.7,58.5,0.9688
0,1231.0,1304.0,652.0,2029.0,1315.0,15.9,53.1,0.9529
0,1176.0,1191.0,705.0,1836.0,1217.0,17.9,46.1,0.9388
1,1043.0,1066.0,789.0,1692.0,1014.0,20.2,37.7,0.8833
1,992.0,970.0,869.0,1624.0,884.0,18.5,42.8,0.9026
2,885.0,772.0,1035.0,1450.0,524.0,13.0,64.3,0.9586
2,991.0,937.0,874.0,1581.0,644.0,15.1,54.5,0.9309
0,1182.0,1119.0,733.0,1831.0,1032.0,13.6,65.5,1.0184
0,1191.0,1074.0,741.0,1816.0,1038.0,12.3,78.3,1.1154
0,1272.0,1136.0,730.0,1869.0,1077.0,12.7,74.2,1.0863
1,1138.0,1063.0,804.0,1728.0,983.0,14.4,64.2,1.049
1,1008.0,954.0,892.0,1626.0,834.0,15.6,58.3,1.0266
1,1075.0,1015.0,824.0,1722.0,949.0,15.0,61.4,1.0385
2,1034.0,935.0,870.0,1605.0,941.0,13.7,65.8,1.0254
2,934.0,841.0,973.0,1497.0,756.0,12.3,66.4,0.944
2,883.0,705.0,1133.0,1422.0,655.0,15.4,58.8,1.0215
2,1021.0,871.0,938.0,1586.0,805.0,14.1,64.9,1.0405
2,1059.0,907.0,879.0,1579.0,970.0,13.8,64.7,1.0168
2,1023.0,878.0,896.0,1568.0,969.0,13.5,67.8,1.042
2,855.0,669.0,1160.0,1427.0,671.0,13.7,69.4,1.0794
2,826.0,616.0,1227.0,1384.0,575.0,13.9,67.7,1.0712
2,831.0,602.0,1269.0,1386.0,535.0,14.0,67.8,1.0787
2,817.0,639.0,1260.0,1364.0,489.0,14.6,61.1,1.0075
2,972.0,880.0,964.0,1590.0,689.0,14.3,60.5,0.9847
0,1200.0,1290.0,657.0,2014.0,1196.0,14.9,56.9,0.9582
0,1234.0,1355.0,621.0,2095.0,1266.0,16.4,50.2,0.9286
0,1164.0,1148.0,741.0,1824.0,1130.0,16.0,50.9,0.9211
1,976.0,952.0,878.0,1582.0,834.0,18.6,42.8,0.9091
2,844.0,825.0,1027.0,1405.0,536.0,19.7,33.7,0.7646
1,851.0,906.0,989.0,1418.0,545.0,21.2,27.7,0.6864
1,926.0,1010.0,904.0,1526.0,720.0,19.7,28.5,0.6445
1,890.0,950.0,940.0,1460.0,655.0,19.8,29.7,0.678
1,921.0,914.0,937.0,1481.0,614.0,19.2,35.6,0.7856
2,1052.0,956.0,869.0,1600.0,725.0,14.2,60.5,0.9765
0,1247.0,1238.0,691.0,1948.0,1036.0,12.9,69.1,1.0249
0,1205.0,1222.0,684.0,1911.0,1127.0,12.7,70.4,1.0294
2,1016.0,995.0,857.0,1642.0,854.0,13.9,62.7,0.9905
2,984.0,879.0,940.0,1527.0,792.0,13.9,62.9,0.9948
2,1041.0,898.0,922.0,1595.0,891.0,13.4,65.2,0.9996
2,1027.0,887.0,927.0,1568.0,876.0,13.4,64.6,0.9864
2,1025.0,869.0,954.0,1531.0,851.0,13.3,63.6,0.9677
2,984.0,829.0,1003.0,1516.0,787.0,13.3,61.8,0.9433
2,969.0,791.0,1084.0,1446.0,711.0,13.6,59.7,0.9271
2,758.0,546.0,1483.0,1252.0,396.0,14.6,53.3,0.8807
2,767.0,547.0,1482.0,1239.0,375.0,14.3,51.7,0.8412
2,772.0,518.0,1544.0,1202.0,343.0,10.9,67.5,0.8785
2,831.0,557.0,1480.0,1257.0,401.0,7.4,85.2,0.8808
2,871.0,628.0,1243.0,1329.0,518.0,8.7,81.5,0.919
2,995.0,808.0,1028.0,1479.0,685.0,10.3,75.6,0.9458
2,1093.0,918.0,857.0,1589.0,939.0,11.0,75.0,0.9821
2,1079.0,885.0,884.0,1588.0,974.0,13.6,66.1,1.0236
2,1084.0,852.0,910.0,1575.0,959.0,14.7,63.1,1.0488
0,1204.0,982.0,791.0,1739.0,1067.0,13.8,72.3,1.1361
0,1213.0,1018.0,760.0,1778.0,1061.0,13.3,76.8,1.1703
1,1124.0,949.0,827.0,1671.0,1008.0,16.2,60.0,1.0937
2,945.0,726.0,1053.0,1432.0,637.0,16.3,55.3,1.0146
1,964.0,833.0,1003.0,1489.0,647.0,20.0,40.4,0.9354
2,903.0,786.0,1073.0,1375.0,523.0,19.8,35.4,0.8099
2,918.0,863.0,992.0,1408.0,539.0,19.8,33.6,0.767
1,1028.0,961.0,913.0,1502.0,649.0,17.8,38.5,0.7763
0,1175.0,1209.0,720.0,1829.0,1071.0,16.7,44.6,0.8393
0,1215.0,1161.0,714.0,1802.0,1237.0,15.1,51.8,0.8816
1,1072.0,976.0,835.0,1603.0,1018.0,14.1,56.2,0.9028
2,1070.0,952.0,858.0,1573.0,966.0,13.8,58.3,0.9147
2,1021.0,853.0,979.0,1457.0,901.0,13.7,59.7,0.9285
2,1063.0,859.0,952.0,1519.0,949.0,13.7,60.3,0.9405
2,1068.0,938.0,862.0,1575.0,1057.0,12.7,64.9,0.9506
2,993.0,913.0,879.0,1601.0,989.0,12.6,65.4,0.9529
2,1034.0,928.0,848.0,1619.0,1005.0,12.1,68.6,0.964
2,1025.0,914.0,856.0,1605.0,1003.0,12.3,68.0,0.9722
2,1036.0,902.0,825.0,1558.0,1087.0,11.9,71.1,0.9899
2,924.0,774.0,987.0,1460.0,909.0,11.3,73.8,0.9848
2,922.0,737.0,1050.0,1414.0,882.0,13.1,62.6,0.9419
2,830.0,625.0,1266.0,1303.0,568.0,16.8,46.8,0.8881
